date,station,station_type,latitude,longitude,pm25_daily_mean,temperature_f,relative_humidity
2020-05-09,Albany-Central,urban,42.65,-73.75,22.6,62.6,68.8
2020-05-10,Albany-Central,urban,42.65,-73.75,21.5,59.7,69.9
2020-05-11,Albany-Central,urban,42.65,-73.75,11.3,54.4,52.8
2020-05-12,Albany-Central,urban,42.65,-73.75,12.2,72.7,33.8
2020-05-13,Albany-Central,urban,42.65,-73.75,32.0,68.3,64.5
2020-05-14,Albany-Central,urban,42.65,-73.75,19.1,52.5,44.8
2020-05-15,Albany-Central,urban,42.65,-73.75,22.4,55.3,66.5
2020-05-16,Albany-Central,urban,42.65,-73.75,18.7,57.4,71.1
2020-05-17,Albany-Central,urban,42.65,-73.75,10.8,73.3,88.6
2020-05-18,Albany-Central,urban,42.65,-73.75,9.3,56.1,55.6
2020-05-19,Albany-Central,urban,42.65,-73.75,17.6,55.4,73.7
2020-05-20,Albany-Central,urban,42.65,-73.75,13.4,70.6,50.8
2020-05-21,Albany-Central,urban,42.65,-73.75,44.0,68.2,42.2
2020-05-22,Albany-Central,urban,42.65,-73.75,26.2,60.5,64.5
2020-05-23,Albany-Central,urban,42.65,-73.75,32.8,68.0,73.0
2020-05-24,Albany-Central,urban,42.65,-73.75,14.1,63.7,63.9
2020-05-25,Albany-Central,urban,42.65,-73.75,22.4,70.3,74.3
2020-05-26,Albany-Central,urban,42.65,-73.75,17.0,55.6,71.4
2020-05-27,Albany-Central,urban,42.65,-73.75,19.5,68.5,61.8
2020-05-28,Albany-Central,urban,42.65,-73.75,,66.1,79.1
2020-05-29,Albany-Central,urban,42.65,-73.75,14.8,59.9,84.2
2020-05-30,Albany-Central,urban,42.65,-73.75,29.4,67.5,80.5
2020-05-31,Albany-Central,urban,42.65,-73.75,11.4,70.8,65.7
2020-06-01,Albany-Central,urban,42.65,-73.75,15.7,75.1,99.5
2020-06-02,Albany-Central,urban,42.65,-73.75,15.4,56.7,38.6
2020-06-03,Albany-Central,urban,42.65,-73.75,,61.4,49.9
2020-06-04,Albany-Central,urban,42.65,-73.75,13.3,55.4,46.9
2020-06-05,Albany-Central,urban,42.65,-73.75,24.9,65.9,64.3
2020-06-06,Albany-Central,urban,42.65,-73.75,23.0,74.3,89.3
2020-06-07,Albany-Central,urban,42.65,-73.75,14.5,64.0,55.4
2020-06-08,Albany-Central,urban,42.65,-73.75,26.6,65.2,47.4
2020-06-09,Albany-Central,urban,42.65,-73.75,15.3,71.4,68.0
2020-06-10,Albany-Central,urban,42.65,-73.75,10.9,65.5,73.8
2020-06-11,Albany-Central,urban,42.65,-73.75,19.9,69.7,74.9
2020-06-12,Albany-Central,urban,42.65,-73.75,35.5,73.1,50.7
2020-06-13,Albany-Central,urban,42.65,-73.75,15.2,69.2,64.8
2020-06-14,Albany-Central,urban,42.65,-73.75,27.1,75.8,48.0
2020-06-15,Albany-Central,urban,42.65,-73.75,22.2,74.6,77.3
2020-06-16,Albany-Central,urban,42.65,-73.75,20.9,64.1,72.2
2020-06-17,Albany-Central,urban,42.65,-73.75,17.0,68.9,83.1
2020-06-18,Albany-Central,urban,42.65,-73.75,13.6,66.6,65.1
2020-06-19,Albany-Central,urban,42.65,-73.75,11.8,72.5,74.7
2020-06-20,Albany-Central,urban,42.65,-73.75,36.9,71.2,65.7
2020-06-21,Albany-Central,urban,42.65,-73.75,15.4,69.2,81.1
2020-06-22,Albany-Central,urban,42.65,-73.75,12.5,65.1,66.9
2020-06-23,Albany-Central,urban,42.65,-73.75,14.9,70.2,88.5
2020-06-24,Albany-Central,urban,42.65,-73.75,16.9,60.5,62.3
2020-06-25,Albany-Central,urban,42.65,-73.75,18.9,64.5,45.8
2020-06-26,Albany-Central,urban,42.65,-73.75,23.5,67.1,74.5
2020-06-27,Albany-Central,urban,42.65,-73.75,17.4,69.2,61.4
2020-06-28,Albany-Central,urban,42.65,-73.75,20.1,73.4,59.9
2020-06-29,Albany-Central,urban,42.65,-73.75,19.8,70.3,73.5
2020-06-30,Albany-Central,urban,42.65,-73.75,20.7,75.0,72.4
2020-07-01,Albany-Central,urban,42.65,-73.75,14.6,78.2,64.4
2020-07-02,Albany-Central,urban,42.65,-73.75,10.7,63.5,79.9
2020-07-03,Albany-Central,urban,42.65,-73.75,14.1,52.7,41.2
2020-07-04,Albany-Central,urban,42.65,-73.75,22.3,67.0,56.4
2020-07-05,Albany-Central,urban,42.65,-73.75,16.8,60.0,87.6
2020-07-06,Albany-Central,urban,42.65,-73.75,22.7,61.6,65.6
2020-07-07,Albany-Central,urban,42.65,-73.75,12.3,65.0,92.0
2020-07-08,Albany-Central,urban,42.65,-73.75,21.3,68.2,53.0
2020-07-09,Albany-Central,urban,42.65,-73.75,17.2,62.5,75.5
2020-07-10,Albany-Central,urban,42.65,-73.75,19.5,66.9,79.3
2020-07-11,Albany-Central,urban,42.65,-73.75,30.5,67.2,55.2
2020-07-12,Albany-Central,urban,42.65,-73.75,14.1,59.7,57.1
2020-07-13,Albany-Central,urban,42.65,-73.75,30.3,68.3,65.6
2020-07-14,Albany-Central,urban,42.65,-73.75,17.9,72.0,63.3
2020-07-15,Albany-Central,urban,42.65,-73.75,10.7,56.5,68.4
2020-07-16,Albany-Central,urban,42.65,-73.75,23.1,55.3,56.4
2020-07-17,Albany-Central,urban,42.65,-73.75,27.8,73.1,55.6
2020-07-18,Albany-Central,urban,42.65,-73.75,19.1,66.6,60.6
2020-07-19,Albany-Central,urban,42.65,-73.75,20.6,47.3,82.2
2020-07-20,Albany-Central,urban,42.65,-73.75,9.7,69.0,46.3
2020-07-21,Albany-Central,urban,42.65,-73.75,16.4,66.8,66.2
2020-07-22,Albany-Central,urban,42.65,-73.75,11.0,67.6,44.1
2020-07-23,Albany-Central,urban,42.65,-73.75,15.4,75.9,70.7
2020-07-24,Albany-Central,urban,42.65,-73.75,18.6,61.2,56.7
2020-07-25,Albany-Central,urban,42.65,-73.75,,62.4,66.2
2020-07-26,Albany-Central,urban,42.65,-73.75,8.4,63.4,71.8
2020-07-27,Albany-Central,urban,42.65,-73.75,32.5,61.5,81.6
2020-07-28,Albany-Central,urban,42.65,-73.75,11.4,63.7,55.2
2020-07-29,Albany-Central,urban,42.65,-73.75,21.5,64.7,67.3
2020-07-30,Albany-Central,urban,42.65,-73.75,17.8,58.7,66.0
2020-07-31,Albany-Central,urban,42.65,-73.75,19.2,54.2,89.5
2020-08-01,Albany-Central,urban,42.65,-73.75,11.1,66.8,61.2
2020-08-02,Albany-Central,urban,42.65,-73.75,14.8,66.2,82.8
2020-08-03,Albany-Central,urban,42.65,-73.75,10.8,67.8,61.1
2020-08-04,Albany-Central,urban,42.65,-73.75,10.2,51.1,88.9
2020-08-05,Albany-Central,urban,42.65,-73.75,11.2,51.7,56.0
2020-08-06,Albany-Central,urban,42.65,-73.75,13.0,72.6,79.7
2020-08-07,Albany-Central,urban,42.65,-73.75,13.3,51.8,42.0
2020-08-08,Albany-Central,urban,42.65,-73.75,24.6,61.7,73.9
2020-08-09,Albany-Central,urban,42.65,-73.75,20.2,56.5,70.9
2020-08-10,Albany-Central,urban,42.65,-73.75,11.6,55.9,39.6
2020-08-11,Albany-Central,urban,42.65,-73.75,14.1,45.8,71.0
2020-08-12,Albany-Central,urban,42.65,-73.75,10.6,55.5,73.3
2020-08-13,Albany-Central,urban,42.65,-73.75,10.7,57.4,50.9
2020-08-14,Albany-Central,urban,42.65,-73.75,16.4,64.3,66.9
2020-08-15,Albany-Central,urban,42.65,-73.75,12.6,54.0,71.0
2020-08-16,Albany-Central,urban,42.65,-73.75,9.3,51.1,54.2
2020-08-17,Albany-Central,urban,42.65,-73.75,19.9,56.3,53.3
2020-08-18,Albany-Central,urban,42.65,-73.75,,56.9,62.2
2020-08-19,Albany-Central,urban,42.65,-73.75,13.5,44.8,69.0
2020-08-20,Albany-Central,urban,42.65,-73.75,11.4,63.5,90.2
2020-08-21,Albany-Central,urban,42.65,-73.75,11.9,55.0,57.0
2020-08-22,Albany-Central,urban,42.65,-73.75,11.4,46.7,55.3
2020-08-23,Albany-Central,urban,42.65,-73.75,9.1,48.6,75.5
2020-08-24,Albany-Central,urban,42.65,-73.75,7.2,54.1,83.4
2020-08-25,Albany-Central,urban,42.65,-73.75,9.1,49.9,90.9
2020-08-26,Albany-Central,urban,42.65,-73.75,16.6,45.5,67.5
2020-08-27,Albany-Central,urban,42.65,-73.75,8.9,58.5,46.8
2020-08-28,Albany-Central,urban,42.65,-73.75,9.3,48.2,83.2
2020-08-29,Albany-Central,urban,42.65,-73.75,14.3,46.5,70.4
2020-08-30,Albany-Central,urban,42.65,-73.75,10.3,41.2,37.5
2020-08-31,Albany-Central,urban,42.65,-73.75,16.4,53.8,65.5
2020-09-01,Albany-Central,urban,42.65,-73.75,13.8,47.7,78.8
2020-09-02,Albany-Central,urban,42.65,-73.75,12.1,44.8,61.5
2020-09-03,Albany-Central,urban,42.65,-73.75,13.5,47.3,81.3
2020-09-04,Albany-Central,urban,42.65,-73.75,16.4,61.7,60.5
2020-09-05,Albany-Central,urban,42.65,-73.75,,44.6,55.9
2020-09-06,Albany-Central,urban,42.65,-73.75,12.4,49.0,65.8
2020-09-07,Albany-Central,urban,42.65,-73.75,9.5,44.6,46.9
2020-09-08,Albany-Central,urban,42.65,-73.75,16.2,40.9,64.1
2020-09-09,Albany-Central,urban,42.65,-73.75,10.5,42.7,59.2
2020-09-10,Albany-Central,urban,42.65,-73.75,13.8,34.9,78.7
2020-09-11,Albany-Central,urban,42.65,-73.75,8.0,42.3,47.4
2020-09-12,Albany-Central,urban,42.65,-73.75,6.9,42.9,62.4
2020-09-13,Albany-Central,urban,42.65,-73.75,,45.0,42.8
2020-09-14,Albany-Central,urban,42.65,-73.75,13.6,36.2,64.5
2020-09-15,Albany-Central,urban,42.65,-73.75,12.6,36.1,58.4
2020-09-16,Albany-Central,urban,42.65,-73.75,9.3,36.0,30.9
2020-09-17,Albany-Central,urban,42.65,-73.75,10.0,47.0,55.9
2020-09-18,Albany-Central,urban,42.65,-73.75,23.9,39.7,78.8
2020-09-19,Albany-Central,urban,42.65,-73.75,19.8,49.1,65.5
2020-09-20,Albany-Central,urban,42.65,-73.75,9.6,37.9,66.4
2020-09-21,Albany-Central,urban,42.65,-73.75,7.8,33.0,83.0
2020-09-22,Albany-Central,urban,42.65,-73.75,9.9,40.0,54.4
2020-09-23,Albany-Central,urban,42.65,-73.75,17.5,33.3,43.7
2020-09-24,Albany-Central,urban,42.65,-73.75,20.8,41.2,83.4
2020-09-25,Albany-Central,urban,42.65,-73.75,9.8,42.4,65.9
2020-09-26,Albany-Central,urban,42.65,-73.75,13.4,31.3,70.4
2020-09-27,Albany-Central,urban,42.65,-73.75,8.5,24.1,95.8
2020-09-28,Albany-Central,urban,42.65,-73.75,8.3,36.7,62.5
2020-09-29,Albany-Central,urban,42.65,-73.75,11.4,36.7,61.3
2020-09-30,Albany-Central,urban,42.65,-73.75,21.2,28.3,72.5
2020-10-01,Albany-Central,urban,42.65,-73.75,13.8,30.1,57.1
2020-10-02,Albany-Central,urban,42.65,-73.75,14.7,47.4,81.1
2020-10-03,Albany-Central,urban,42.65,-73.75,15.5,35.4,84.3
2020-10-04,Albany-Central,urban,42.65,-73.75,15.1,37.6,51.1
2020-10-05,Albany-Central,urban,42.65,-73.75,9.7,35.7,90.0
2020-10-06,Albany-Central,urban,42.65,-73.75,,33.4,86.8
2020-10-07,Albany-Central,urban,42.65,-73.75,9.0,35.1,63.2
2020-10-08,Albany-Central,urban,42.65,-73.75,13.6,25.9,33.6
2020-10-09,Albany-Central,urban,42.65,-73.75,7.1,19.8,42.1
2020-10-10,Albany-Central,urban,42.65,-73.75,18.2,43.2,60.6
2020-10-11,Albany-Central,urban,42.65,-73.75,24.0,36.7,80.4
2020-10-12,Albany-Central,urban,42.65,-73.75,14.3,35.7,55.3
2020-10-13,Albany-Central,urban,42.65,-73.75,7.8,27.4,54.2
2020-10-14,Albany-Central,urban,42.65,-73.75,6.0,29.2,73.7
2020-10-15,Albany-Central,urban,42.65,-73.75,10.6,21.9,59.4
2020-10-16,Albany-Central,urban,42.65,-73.75,,18.8,47.4
2020-10-17,Albany-Central,urban,42.65,-73.75,12.0,16.2,69.8
2020-10-18,Albany-Central,urban,42.65,-73.75,10.9,24.2,71.0
2020-10-19,Albany-Central,urban,42.65,-73.75,11.3,36.6,89.9
2020-10-20,Albany-Central,urban,42.65,-73.75,9.7,27.9,56.4
2020-10-21,Albany-Central,urban,42.65,-73.75,11.0,23.9,51.8
2020-10-22,Albany-Central,urban,42.65,-73.75,8.5,22.9,88.5
2020-10-23,Albany-Central,urban,42.65,-73.75,,29.6,76.1
2020-10-24,Albany-Central,urban,42.65,-73.75,10.2,28.1,66.5
2020-10-25,Albany-Central,urban,42.65,-73.75,14.8,16.0,69.4
2020-10-26,Albany-Central,urban,42.65,-73.75,7.0,18.3,60.3
2020-10-27,Albany-Central,urban,42.65,-73.75,12.0,29.7,49.8
2020-10-28,Albany-Central,urban,42.65,-73.75,11.4,24.7,92.2
2020-10-29,Albany-Central,urban,42.65,-73.75,13.0,27.4,29.6
2020-10-30,Albany-Central,urban,42.65,-73.75,7.8,30.0,65.9
2020-10-31,Albany-Central,urban,42.65,-73.75,8.9,16.5,57.8
2020-11-01,Albany-Central,urban,42.65,-73.75,7.9,18.8,72.7
2020-11-02,Albany-Central,urban,42.65,-73.75,15.1,20.1,62.3
2020-11-03,Albany-Central,urban,42.65,-73.75,33.8,28.1,56.5
2020-11-04,Albany-Central,urban,42.65,-73.75,15.2,15.9,93.1
2020-11-05,Albany-Central,urban,42.65,-73.75,16.1,12.3,66.8
2020-11-06,Albany-Central,urban,42.65,-73.75,9.8,16.8,50.7
2020-11-07,Albany-Central,urban,42.65,-73.75,12.8,20.1,68.6
2020-11-08,Albany-Central,urban,42.65,-73.75,7.6,21.2,62.2
2020-11-09,Albany-Central,urban,42.65,-73.75,15.5,29.1,68.4
2020-11-10,Albany-Central,urban,42.65,-73.75,12.3,16.2,67.5
2020-11-11,Albany-Central,urban,42.65,-73.75,17.4,16.7,84.6
2020-11-12,Albany-Central,urban,42.65,-73.75,7.7,14.4,77.6
2020-11-13,Albany-Central,urban,42.65,-73.75,13.3,13.2,34.6
2020-11-14,Albany-Central,urban,42.65,-73.75,15.5,14.3,71.1
2020-11-15,Albany-Central,urban,42.65,-73.75,10.8,23.8,48.2
2020-11-16,Albany-Central,urban,42.65,-73.75,13.4,13.5,78.1
2020-11-17,Albany-Central,urban,42.65,-73.75,6.8,22.3,45.2
2020-11-18,Albany-Central,urban,42.65,-73.75,13.6,22.5,71.1
2020-11-19,Albany-Central,urban,42.65,-73.75,10.0,5.4,30.8
2020-11-20,Albany-Central,urban,42.65,-73.75,9.0,14.8,70.0
2020-11-21,Albany-Central,urban,42.65,-73.75,11.7,16.3,69.8
2020-11-22,Albany-Central,urban,42.65,-73.75,7.9,21.4,57.0
2020-11-23,Albany-Central,urban,42.65,-73.75,14.5,9.2,66.4
2020-11-24,Albany-Central,urban,42.65,-73.75,14.4,4.8,49.2
2020-11-25,Albany-Central,urban,42.65,-73.75,7.5,16.9,78.5
2020-11-26,Albany-Central,urban,42.65,-73.75,10.5,13.1,66.1
2020-11-27,Albany-Central,urban,42.65,-73.75,16.4,15.5,74.6
2020-11-28,Albany-Central,urban,42.65,-73.75,4.2,17.8,55.2
2020-11-29,Albany-Central,urban,42.65,-73.75,5.8,26.2,48.3
2020-11-30,Albany-Central,urban,42.65,-73.75,11.2,3.8,61.3
2020-12-01,Albany-Central,urban,42.65,-73.75,8.2,22.2,74.2
2020-12-02,Albany-Central,urban,42.65,-73.75,8.5,5.2,55.8
2020-12-03,Albany-Central,urban,42.65,-73.75,10.8,11.7,34.0
2020-12-04,Albany-Central,urban,42.65,-73.75,11.3,4.2,60.4
2020-12-05,Albany-Central,urban,42.65,-73.75,8.5,15.0,62.3
2020-12-06,Albany-Central,urban,42.65,-73.75,9.9,7.9,81.1
2020-12-07,Albany-Central,urban,42.65,-73.75,11.1,10.2,55.2
2020-12-08,Albany-Central,urban,42.65,-73.75,12.1,15.5,41.3
2020-12-09,Albany-Central,urban,42.65,-73.75,15.1,13.3,55.8
2020-12-10,Albany-Central,urban,42.65,-73.75,5.2,8.0,61.8
2020-12-11,Albany-Central,urban,42.65,-73.75,7.9,15.3,62.5
2020-12-12,Albany-Central,urban,42.65,-73.75,10.7,12.3,75.6
2020-12-13,Albany-Central,urban,42.65,-73.75,12.1,12.5,53.8
2020-12-14,Albany-Central,urban,42.65,-73.75,10.7,0.8,56.8
2020-12-15,Albany-Central,urban,42.65,-73.75,11.5,17.2,84.3
2020-12-16,Albany-Central,urban,42.65,-73.75,7.4,17.5,80.0
2020-12-17,Albany-Central,urban,42.65,-73.75,8.9,1.1,54.6
2020-12-18,Albany-Central,urban,42.65,-73.75,16.1,18.8,48.6
2020-12-19,Albany-Central,urban,42.65,-73.75,,6.2,58.5
2020-12-20,Albany-Central,urban,42.65,-73.75,9.3,10.8,39.7
2020-12-21,Albany-Central,urban,42.65,-73.75,8.5,23.4,58.1
2020-12-22,Albany-Central,urban,42.65,-73.75,,12.1,58.5
2020-12-23,Albany-Central,urban,42.65,-73.75,10.9,1.3,59.7
2020-12-24,Albany-Central,urban,42.65,-73.75,14.5,10.1,82.6
2020-12-25,Albany-Central,urban,42.65,-73.75,13.0,2.9,42.7
2020-12-26,Albany-Central,urban,42.65,-73.75,21.0,25.6,74.6
2020-12-27,Albany-Central,urban,42.65,-73.75,13.7,4.7,52.0
2020-12-28,Albany-Central,urban,42.65,-73.75,7.9,13.8,96.1
2020-12-29,Albany-Central,urban,42.65,-73.75,8.4,14.2,78.5
2020-12-30,Albany-Central,urban,42.65,-73.75,9.8,11.9,100.0
2020-12-31,Albany-Central,urban,42.65,-73.75,6.9,14.2,91.5
2021-01-01,Albany-Central,urban,42.65,-73.75,,10.6,74.3
2021-01-02,Albany-Central,urban,42.65,-73.75,,12.6,70.9
