SERIALNO,PUMA,AGEP,SEX,SCHL,OCCP_GROUP,PINCP,PINCP_RAW,PWGTP,MAR,WKHP,ENG
380772,Westchester,28,2,16,Unemployed,0.0,0.0,51,3,0.0,N/A (only English)
171703,Western NY,81,2,20,Sales,12400.0,12400.0,35,1,34.0,N/A (only English)
894351,Central NY,61,2,12,Production,,17200.0,15,1,46.0,N/A (only English)
281026,NYC-Staten Island,69,2,16,Unemployed,0.0,0.0,58,5,0.0,N/A (only English)
190473,Western NY,42,2,-1,N/A,0.0,0.0,21,5,0.0,Not well
405665,NYC-Manhattan,38,1,20,Production,,29000.0,16,1,22.0,N/A (only English)
521107,NYC-Brooklyn,32,2,12,Construction,11600.0,11600.0,42,5,39.0,Very well
622497,NYC-Manhattan,47,1,21,Education,58800.0,58800.0,43,1,48.0,N/A (only English)
879246,NYC-Brooklyn,52,1,12,Office/Admin,23200.0,23200.0,49,5,38.0,N/A (only English)
765378,NYC-Queens,57,1,21,Education,48300.0,48300.0,39,5,36.0,N/A (only English)
951808,NYC-Brooklyn,33,1,21,Business/Financial,,49300.0,81,1,39.0,N/A (only English)
565668,Capital Region,80,1,21,Computer/Math,67900.0,67900.0,11,1,50.0,N/A (only English)
249866,NYC-Queens,27,1,21,Management,54700.0,54700.0,94,5,29.0,N/A (only English)
556810,NYC-Brooklyn,82,1,15,Computer/Math,33700.0,33700.0,78,5,37.0,Very well
276698,NYC-Bronx,17,2,21,N/A,0.0,0.0,123,3,0.0,N/A (only English)
292672,NYC-Manhattan,47,1,16,Office/Admin,25000.0,25000.0,154,5,43.0,N/A (only English)
601941,Capital Region,38,1,17,Military,44000.0,44000.0,67,5,39.0,Very well
268550,NYC-Manhattan,45,1,-1,N/A,0.0,0.0,26,3,0.0,N/A (only English)
804204,Mohawk Valley,53,1,20,Management,66300.0,66300.0,25,1,48.0,Very well
604094,Westchester,44,1,-1,N/A,0.0,0.0,23,3,0.0,Well
419459,NYC-Brooklyn,43,2,15,Food/Serving,16400.0,16400.0,390,5,42.0,N/A (only English)
350386,NYC-Manhattan,64,2,19,Office/Admin,22200.0,22200.0,78,1,34.0,N/A (only English)
268216,Capital Region,61,2,12,Transportation,31100.0,31100.0,54,1,41.0,Well
445706,Long Island,71,2,21,Management,58500.0,58500.0,41,1,31.0,Very well
567646,Long Island,33,1,15,Healthcare,17000.0,17000.0,8,1,23.0,Very well
750658,Westchester,55,1,16,Office/Admin,36900.0,36900.0,22,5,33.0,Very well
276692,NYC-Manhattan,54,1,16,Production,31300.0,31300.0,36,1,38.0,Very well
793796,NYC-Queens,40,2,21,Management,53200.0,53200.0,43,5,34.0,Very well
345606,NYC-Manhattan,47,1,16,Sales,70300.0,70300.0,67,1,38.0,Very well
767178,Central NY,37,2,22,Education,72800.0,72800.0,28,-1,37.0,N/A (only English)
728098,Long Island,26,1,16,Healthcare,25100.0,25100.0,8,4,24.0,N/A (only English)
351570,NYC-Queens,30,1,12,Food/Serving,24000.0,24000.0,47,1,33.0,N/A (only English)
897230,NYC-Manhattan,23,2,18,Office/Admin,22500.0,22500.0,40,5,44.0,Not well
461529,NYC-Brooklyn,60,2,-1,N/A,0.0,0.0,125,3,0.0,Well
371593,NYC-Brooklyn,59,2,16,N/A,0.0,0.0,77,5,0.0,Very well
577143,Long Island,80,2,15,Sales,15600.0,15600.0,30,-1,40.0,Well
542498,Long Island,64,2,21,Healthcare,151400.0,151400.0,37,3,32.0,N/A (only English)
262374,Central NY,19,2,16,Sales,13600.0,13600.0,6,5,41.0,N/A (only English)
745452,NYC-Bronx,75,2,21,Military,64900.0,64900.0,81,1,49.0,N/A (only English)
466846,NYC-Manhattan,73,1,16,Business/Financial,34900.0,34900.0,43,5,37.0,N/A (only English)
688088,Long Island,45,2,19,Office/Admin,25900.0,25900.0,22,1,42.0,N/A (only English)
970423,Westchester,54,2,16,Production,19200.0,19200.0,63,5,41.0,Very well
831749,NYC-Bronx,82,1,19,N/A,0.0,0.0,64,1,0.0,N/A (only English)
749181,Westchester,50,2,22,Education,125800.0,125800.0,23,1,34.0,N/A (only English)
228836,NYC-Bronx,77,2,22,Computer/Math,50100.0,50100.0,37,-1,32.0,N/A (only English)
937782,NYC-Bronx,21,2,20,Sales,32200.0,32200.0,68,1,49.0,N/A (only English)
114184,NYC-Queens,29,1,-1,N/A,0.0,0.0,64,1,0.0,N/A (only English)
394059,NYC-Manhattan,45,1,16,Sales,23200.0,23200.0,55,5,45.0,N/A (only English)
335317,NYC-Manhattan,54,2,16,Construction,28200.0,28200.0,26,-1,35.0,N/A (only English)
390714,NYC-Manhattan,70,2,21,Sales,46100.0,46100.0,28,5,45.0,N/A (only English)
223582,Long Island,84,1,21,Office/Admin,41000.0,41000.0,22,1,41.0,Well
108314,NYC-Brooklyn,41,2,12,Office/Admin,18200.0,18200.0,48,5,45.0,Very well
705438,NYC-Bronx,19,1,21,Food/Serving,24900.0,24900.0,53,3,24.0,N/A (only English)
819955,Western NY,69,2,17,Unemployed,0.0,0.0,17,-1,0.0,N/A (only English)
843749,NYC-Brooklyn,55,1,21,Unemployed,0.0,0.0,50,5,0.0,N/A (only English)
934269,NYC-Queens,29,1,22,Food/Serving,33800.0,33800.0,168,4,34.0,N/A (only English)
154513,Westchester,48,2,20,Construction,37400.0,37400.0,50,5,48.0,N/A (only English)
466204,NYC-Brooklyn,64,1,1,Construction,12100.0,12100.0,111,5,56.0,Not well
864485,NYC-Manhattan,67,1,21,Management,80600.0,80600.0,72,5,37.0,N/A (only English)
124945,NYC-Brooklyn,48,1,21,Management,62000.0,62000.0,57,1,37.0,N/A (only English)
399280,NYC-Brooklyn,36,1,16,Office/Admin,21300.0,21300.0,69,1,42.0,N/A (only English)
897674,Western NY,82,1,19,Healthcare,37300.0,37300.0,23,1,39.0,Well
553300,Capital Region,59,2,-1,N/A,0.0,0.0,35,3,0.0,N/A (only English)
818755,Long Island,43,2,16,Office/Admin,21900.0,21900.0,20,1,41.0,N/A (only English)
519263,Central NY,35,2,16,Construction,32700.0,32700.0,33,1,22.0,Very well
577306,Capital Region,64,2,16,Office/Admin,,48800.0,22,5,35.0,N/A (only English)
954268,NYC-Brooklyn,32,1,20,Management,42100.0,42100.0,18,1,46.0,N/A (only English)
221550,Central NY,28,1,-1,N/A,0.0,0.0,21,5,0.0,N/A (only English)
185811,NYC-Bronx,50,1,21,Management,78300.0,78300.0,24,5,24.0,N/A (only English)
291312,Capital Region,35,2,16,Healthcare,35500.0,35500.0,13,5,26.0,Well
202424,Central NY,57,2,21,Management,69800.0,69800.0,17,1,28.0,Very well
775371,NYC-Brooklyn,24,1,21,N/A,0.0,0.0,22,1,0.0,Very well
625789,NYC-Manhattan,58,1,21,Business/Financial,135500.0,135500.0,52,-1,45.0,N/A (only English)
870538,NYC-Brooklyn,35,2,16,Food/Serving,17300.0,17300.0,56,5,30.0,N/A (only English)
682183,NYC-Queens,16,2,21,N/A,0.0,0.0,85,-1,0.0,Very well
888991,Capital Region,25,2,19,Business/Financial,18400.0,18400.0,14,-1,32.0,N/A (only English)
684644,Central NY,79,1,9,Transportation,11600.0,11600.0,24,1,37.0,N/A (only English)
386586,NYC-Manhattan,74,2,20,Construction,39600.0,39600.0,51,5,28.0,Very well
765007,NYC-Bronx,32,1,-1,N/A,0.0,0.0,42,5,0.0,Well
250968,NYC-Queens,67,2,17,Education,28400.0,28400.0,20,1,40.0,N/A (only English)
622223,NYC-Brooklyn,55,2,-1,N/A,0.0,0.0,51,3,0.0,N/A (only English)
659401,NYC-Manhattan,82,2,15,Unemployed,0.0,0.0,85,1,0.0,Well
649865,NYC-Queens,40,1,21,Office/Admin,,85600.0,31,1,54.0,N/A (only English)
625450,Western NY,60,1,16,Food/Serving,11100.0,11100.0,17,1,34.0,Very well
806843,NYC-Brooklyn,20,1,16,Office/Admin,25500.0,25500.0,52,1,23.0,N/A (only English)
119627,NYC-Bronx,42,1,20,Sales,20600.0,20600.0,105,4,34.0,N/A (only English)
449715,Long Island,81,2,21,Business/Financial,59300.0,59300.0,33,5,43.0,N/A (only English)
232223,NYC-Queens,51,2,22,Office/Admin,60800.0,60800.0,64,1,40.0,Very well
676897,North Country,35,1,21,Management,37100.0,37100.0,19,5,46.0,Very well
102664,North Country,24,1,21,Computer/Math,22600.0,22600.0,14,5,36.0,Well
776515,NYC-Brooklyn,62,1,-1,N/A,0.0,0.0,27,1,0.0,Very well
160809,NYC-Bronx,58,2,19,Sales,20600.0,20600.0,46,1,35.0,N/A (only English)
683611,NYC-Brooklyn,40,2,16,Office/Admin,22500.0,22500.0,69,1,20.0,Well
126284,NYC-Brooklyn,80,1,16,Military,24200.0,24200.0,58,5,41.0,N/A (only English)
285426,NYC-Manhattan,17,1,18,N/A,0.0,0.0,132,3,0.0,N/A (only English)
383449,NYC-Staten Island,36,2,21,Management,45400.0,45400.0,96,3,31.0,N/A (only English)
894008,NYC-Bronx,78,2,12,Food/Serving,16800.0,16800.0,114,1,38.0,N/A (only English)
174274,NYC-Manhattan,37,1,16,Construction,18600.0,18600.0,16,2,31.0,N/A (only English)
638198,NYC-Brooklyn,33,2,16,Education,29400.0,29400.0,140,-1,36.0,Not well
669889,Western NY,50,2,21,Management,46100.0,46100.0,24,1,47.0,Very well
245543,NYC-Brooklyn,70,2,16,Sales,16700.0,16700.0,69,5,34.0,Very well
176481,NYC-Manhattan,23,2,16,Food/Serving,9100.0,9100.0,93,1,32.0,N/A (only English)
578137,NYC-Bronx,80,1,21,Computer/Math,106400.0,106400.0,55,1,40.0,N/A (only English)
130808,Mohawk Valley,68,2,22,Business/Financial,40900.0,40900.0,9,3,36.0,N/A (only English)
809512,NYC-Brooklyn,28,1,17,Computer/Math,38300.0,38300.0,130,5,33.0,N/A (only English)
288632,Long Island,62,1,21,Healthcare,56000.0,56000.0,22,2,50.0,Well
497868,Westchester,41,1,15,Business/Financial,20400.0,20400.0,20,1,27.0,N/A (only English)
683516,NYC-Brooklyn,42,1,-1,N/A,0.0,0.0,47,5,0.0,N/A (only English)
287157,Long Island,67,1,17,N/A,0.0,0.0,27,1,0.0,N/A (only English)
116630,NYC-Queens,81,2,-1,N/A,0.0,0.0,54,5,0.0,Very well
190619,Long Island,25,2,-1,N/A,0.0,0.0,31,-1,0.0,Very well
923437,Long Island,43,2,22,Business/Financial,90800.0,90800.0,64,3,45.0,Well
549135,NYC-Bronx,47,1,9,Transportation,39500.0,39500.0,71,1,36.0,N/A (only English)
387978,NYC-Manhattan,41,1,20,Production,25000.0,25000.0,32,5,31.0,N/A (only English)
530639,Capital Region,40,2,15,Sales,18000.0,18000.0,12,3,39.0,N/A (only English)
624106,NYC-Brooklyn,19,1,24,Sales,48600.0,48600.0,43,5,37.0,N/A (only English)
768913,NYC-Brooklyn,60,2,22,Office/Admin,56000.0,56000.0,43,5,46.0,N/A (only English)
453522,NYC-Manhattan,44,1,-1,N/A,0.0,0.0,40,3,0.0,N/A (only English)
417106,NYC-Staten Island,29,2,21,Business/Financial,71900.0,71900.0,28,5,32.0,N/A (only English)
224802,Long Island,70,1,20,N/A,0.0,0.0,38,1,0.0,N/A (only English)
576398,NYC-Manhattan,69,2,20,Management,36000.0,36000.0,41,2,36.0,Not well
987987,NYC-Bronx,47,2,18,Food/Serving,14300.0,14300.0,30,5,44.0,Very well
252867,NYC-Brooklyn,36,2,19,Production,25500.0,25500.0,73,5,36.0,Not well
705234,Long Island,57,2,21,Management,130300.0,130300.0,50,5,44.0,N/A (only English)
702799,NYC-Brooklyn,35,1,-1,N/A,0.0,0.0,47,5,0.0,N/A (only English)
765257,Long Island,32,2,21,Education,56200.0,56200.0,80,1,46.0,Well
825475,NYC-Queens,64,1,23,Office/Admin,66100.0,66100.0,206,1,41.0,N/A (only English)
652362,Western NY,18,2,23,N/A,0.0,0.0,28,1,0.0,N/A (only English)
609411,NYC-Manhattan,22,1,20,Office/Admin,19000.0,19000.0,41,5,33.0,Well
762242,NYC-Queens,16,2,17,N/A,0.0,0.0,64,1,0.0,N/A (only English)
908964,NYC-Manhattan,26,2,21,N/A,0.0,0.0,26,1,0.0,N/A (only English)
960626,Western NY,20,1,19,Sales,21700.0,21700.0,10,1,35.0,N/A (only English)
731742,Central NY,84,1,15,Food/Serving,19000.0,19000.0,6,5,46.0,Well
337799,NYC-Brooklyn,35,1,18,Office/Admin,30000.0,30000.0,37,3,38.0,Not well
929180,Long Island,26,2,-1,N/A,0.0,0.0,17,1,0.0,N/A (only English)
359866,Capital Region,32,1,12,Transportation,10200.0,10200.0,31,3,36.0,N/A (only English)
377666,NYC-Bronx,79,2,21,Computer/Math,119700.0,119700.0,34,5,43.0,N/A (only English)
346345,NYC-Bronx,50,2,22,Healthcare,98100.0,98100.0,64,5,28.0,N/A (only English)
966162,NYC-Brooklyn,40,2,21,Computer/Math,55100.0,55100.0,85,1,38.0,N/A (only English)
417431,NYC-Manhattan,74,2,20,Office/Admin,23000.0,23000.0,110,5,36.0,N/A (only English)
777403,Central NY,42,1,21,N/A,0.0,0.0,15,1,0.0,N/A (only English)
397312,Western NY,38,2,19,Office/Admin,,12200.0,24,5,36.0,Very well
482894,Long Island,30,2,15,Sales,34700.0,34700.0,39,5,34.0,N/A (only English)
512590,NYC-Queens,41,2,-1,N/A,0.0,0.0,117,3,0.0,N/A (only English)
425034,NYC-Queens,37,2,19,Transportation,41400.0,41400.0,87,1,35.0,N/A (only English)
410051,Long Island,60,2,21,Business/Financial,51400.0,51400.0,63,5,39.0,N/A (only English)
124432,Central NY,35,1,20,Production,43100.0,43100.0,6,1,47.0,N/A (only English)
227504,Central NY,53,2,12,Healthcare,22200.0,22200.0,12,5,22.0,N/A (only English)
200214,Westchester,20,2,-1,N/A,0.0,0.0,55,5,0.0,N/A (only English)
142186,Long Island,29,2,22,Business/Financial,69500.0,69500.0,44,5,45.0,N/A (only English)
420036,NYC-Manhattan,43,2,16,Computer/Math,27100.0,27100.0,50,5,39.0,N/A (only English)
548657,NYC-Brooklyn,79,1,-1,N/A,0.0,0.0,41,1,0.0,Very well
337854,Central NY,41,2,21,Management,46400.0,46400.0,34,-1,40.0,N/A (only English)
792891,NYC-Staten Island,59,2,19,Construction,31400.0,31400.0,16,5,34.0,N/A (only English)
308960,NYC-Manhattan,33,1,21,Computer/Math,38000.0,38000.0,87,3,44.0,N/A (only English)
962366,NYC-Manhattan,25,2,16,Unemployed,0.0,0.0,57,5,0.0,N/A (only English)
593683,Long Island,20,1,20,Office/Admin,17300.0,17300.0,25,5,44.0,N/A (only English)
722490,NYC-Manhattan,36,2,15,Sales,16000.0,16000.0,73,5,24.0,Not well
627399,NYC-Brooklyn,27,1,20,Transportation,,45400.0,43,1,52.0,N/A (only English)
310571,NYC-Bronx,28,2,20,Construction,20600.0,20600.0,55,2,38.0,N/A (only English)
343659,Long Island,66,1,23,Office/Admin,131100.0,131100.0,32,5,38.0,N/A (only English)
604666,Long Island,17,2,21,N/A,0.0,0.0,48,5,0.0,Not at all
257978,NYC-Brooklyn,52,1,16,Construction,17100.0,17100.0,60,4,27.0,N/A (only English)
585052,Long Island,41,1,24,Management,197000.0,197000.0,12,2,36.0,N/A (only English)
845330,NYC-Brooklyn,49,2,20,Construction,28000.0,28000.0,23,-1,47.0,Very well
826637,NYC-Brooklyn,52,1,21,Computer/Math,105500.0,105500.0,28,3,40.0,Very well
673939,Westchester,37,2,16,Office/Admin,22200.0,22200.0,41,5,40.0,Very well
920888,Long Island,36,2,23,Unemployed,0.0,0.0,43,3,0.0,Well
963837,Capital Region,64,2,-1,N/A,0.0,0.0,64,1,0.0,Well
116009,Long Island,74,2,22,Business/Financial,82100.0,82100.0,19,5,37.0,Very well
477191,NYC-Bronx,29,1,-1,N/A,0.0,0.0,119,5,0.0,N/A (only English)
650777,NYC-Manhattan,22,1,16,Construction,19200.0,19200.0,17,-1,51.0,N/A (only English)
841522,NYC-Queens,76,2,23,Computer/Math,78900.0,78900.0,55,1,39.0,N/A (only English)
857827,NYC-Brooklyn,39,1,20,Computer/Math,40500.0,40500.0,63,5,48.0,N/A (only English)
939822,NYC-Brooklyn,52,2,16,Sales,38500.0,38500.0,63,4,36.0,N/A (only English)
553626,North Country,40,1,21,Education,39200.0,39200.0,16,1,39.0,N/A (only English)
349060,NYC-Queens,24,2,21,Computer/Math,45500.0,45500.0,58,5,42.0,Not well
183726,Central NY,54,1,16,Sales,15100.0,15100.0,8,1,43.0,N/A (only English)
365718,Long Island,50,2,9,Unemployed,0.0,0.0,51,5,0.0,Very well
444672,Capital Region,30,1,16,Management,38700.0,38700.0,23,1,45.0,N/A (only English)
737362,NYC-Bronx,45,1,18,Food/Serving,15900.0,15900.0,67,5,34.0,N/A (only English)
433836,NYC-Staten Island,68,2,16,Production,30500.0,30500.0,46,1,45.0,N/A (only English)
862576,NYC-Bronx,54,1,16,Unemployed,0.0,0.0,44,1,0.0,N/A (only English)
286322,NYC-Brooklyn,22,2,18,Sales,12000.0,12000.0,74,1,30.0,N/A (only English)
575194,Long Island,51,2,-1,N/A,0.0,0.0,73,3,0.0,N/A (only English)
851610,NYC-Brooklyn,62,1,22,Production,106600.0,106600.0,23,2,29.0,N/A (only English)
875948,NYC-Manhattan,68,2,16,Education,28600.0,28600.0,22,1,35.0,Well
517221,Long Island,57,1,-1,N/A,0.0,0.0,37,1,0.0,N/A (only English)
183512,NYC-Brooklyn,26,2,21,Business/Financial,37700.0,37700.0,44,3,43.0,Well
432469,Western NY,62,2,19,Production,35100.0,35100.0,21,5,30.0,Very well
200135,North Country,60,2,19,Unemployed,0.0,0.0,19,5,0.0,N/A (only English)
766723,Western NY,17,1,18,N/A,0.0,0.0,31,3,0.0,N/A (only English)
345022,NYC-Queens,43,1,16,Food/Serving,20900.0,20900.0,45,3,36.0,N/A (only English)
483924,NYC-Manhattan,38,2,18,Business/Financial,29100.0,29100.0,26,-1,30.0,N/A (only English)
337836,Western NY,59,1,20,Computer/Math,67100.0,67100.0,11,-1,38.0,N/A (only English)
348599,NYC-Queens,31,1,20,Food/Serving,13300.0,13300.0,49,1,44.0,N/A (only English)
817148,North Country,54,2,22,Sales,23000.0,23000.0,8,4,31.0,N/A (only English)
788624,North Country,77,2,17,Office/Admin,27300.0,27300.0,19,5,28.0,N/A (only English)
531159,Central NY,69,1,21,Computer/Math,53000.0,53000.0,20,5,43.0,Well
407501,NYC-Brooklyn,78,1,21,Education,84600.0,84600.0,44,5,31.0,N/A (only English)
882206,NYC-Queens,83,1,-1,N/A,0.0,0.0,61,3,0.0,N/A (only English)
297377,Central NY,16,1,18,N/A,0.0,0.0,6,3,0.0,Very well
733653,NYC-Brooklyn,56,1,24,Military,112300.0,112300.0,30,5,54.0,N/A (only English)
938131,NYC-Brooklyn,43,1,22,Management,82500.0,82500.0,27,1,41.0,N/A (only English)
738411,NYC-Bronx,73,2,21,Education,70400.0,70400.0,92,3,44.0,N/A (only English)
612857,Western NY,33,2,21,Unemployed,0.0,0.0,100,5,0.0,Not well
295423,Long Island,83,1,15,Food/Serving,11400.0,11400.0,21,5,28.0,N/A (only English)
150537,NYC-Staten Island,56,1,-1,N/A,0.0,0.0,47,2,0.0,N/A (only English)
339236,NYC-Manhattan,68,2,16,Production,15200.0,15200.0,36,4,40.0,Very well
669491,Long Island,22,1,20,Construction,16900.0,16900.0,36,1,30.0,N/A (only English)
347463,Mohawk Valley,28,2,17,Management,11800.0,11800.0,13,5,39.0,N/A (only English)
747260,NYC-Manhattan,66,2,19,Food/Serving,23400.0,23400.0,64,5,32.0,N/A (only English)
382072,NYC-Bronx,17,2,21,N/A,0.0,0.0,81,5,0.0,Very well
530673,Central NY,70,1,-1,N/A,0.0,0.0,8,1,0.0,Well
904245,Westchester,17,2,19,N/A,0.0,0.0,37,3,0.0,N/A (only English)
794068,Long Island,59,2,-1,N/A,0.0,0.0,13,1,0.0,Not at all
154087,Long Island,40,2,21,Education,36800.0,36800.0,29,5,44.0,N/A (only English)
726343,NYC-Queens,55,2,16,Office/Admin,25300.0,25300.0,44,1,39.0,N/A (only English)
510542,NYC-Brooklyn,61,1,16,Office/Admin,28200.0,28200.0,47,5,38.0,N/A (only English)
324252,Capital Region,39,1,21,Business/Financial,45800.0,45800.0,16,1,50.0,N/A (only English)
182377,Capital Region,23,2,12,Transportation,4800.0,4800.0,14,3,37.0,N/A (only English)
341872,Central NY,21,2,19,Food/Serving,22300.0,22300.0,16,1,44.0,N/A (only English)
514253,Western NY,54,2,16,Sales,20600.0,20600.0,23,5,50.0,N/A (only English)
996367,NYC-Bronx,50,2,19,Sales,58300.0,58300.0,64,5,38.0,N/A (only English)
392281,NYC-Bronx,64,1,21,Education,103200.0,103200.0,58,3,39.0,N/A (only English)
684915,Capital Region,49,1,19,Computer/Math,39900.0,39900.0,13,1,47.0,N/A (only English)
598458,Long Island,43,2,16,Food/Serving,17300.0,17300.0,56,1,47.0,N/A (only English)
746657,Long Island,42,1,16,Food/Serving,20500.0,20500.0,70,5,38.0,N/A (only English)
207804,Capital Region,17,2,17,N/A,,0.0,8,5,0.0,N/A (only English)
572069,Central NY,38,1,15,Food/Serving,21000.0,21000.0,22,5,33.0,N/A (only English)
961331,NYC-Queens,82,2,21,Management,91600.0,91600.0,41,5,46.0,N/A (only English)
487538,NYC-Queens,74,2,21,Education,42600.0,42600.0,95,5,41.0,N/A (only English)
789994,NYC-Manhattan,38,1,12,Production,17500.0,17500.0,54,3,43.0,Very well
354575,NYC-Staten Island,54,1,18,Construction,52700.0,52700.0,56,5,42.0,N/A (only English)
836913,NYC-Manhattan,72,2,18,Office/Admin,,17300.0,73,2,38.0,Not at all
340230,NYC-Queens,45,2,17,Business/Financial,42100.0,42100.0,45,5,42.0,N/A (only English)
807605,NYC-Bronx,17,2,20,N/A,0.0,0.0,149,5,0.0,N/A (only English)
583762,NYC-Brooklyn,21,1,17,N/A,0.0,0.0,74,5,0.0,Very well
615085,NYC-Staten Island,49,1,18,Healthcare,77900.0,77900.0,95,1,42.0,N/A (only English)
533129,NYC-Manhattan,82,1,22,Education,58100.0,58100.0,47,5,27.0,Not at all
895000,NYC-Manhattan,61,1,16,Unemployed,0.0,0.0,50,5,0.0,Not well
448677,Capital Region,21,2,21,Education,22000.0,22000.0,35,1,46.0,Very well
537524,NYC-Queens,29,2,20,Food/Serving,26200.0,26200.0,83,1,40.0,N/A (only English)
539103,NYC-Manhattan,67,1,16,Food/Serving,19200.0,19200.0,25,5,31.0,N/A (only English)
894375,NYC-Bronx,72,1,21,Management,66700.0,66700.0,58,1,41.0,N/A (only English)
844209,Westchester,56,1,20,Construction,58500.0,58500.0,41,3,46.0,N/A (only English)
496997,NYC-Brooklyn,58,2,19,Construction,39200.0,39200.0,50,5,39.0,N/A (only English)
925974,Long Island,18,2,21,Sales,26800.0,26800.0,40,1,32.0,N/A (only English)
463362,NYC-Manhattan,71,2,22,Management,141300.0,141300.0,51,1,31.0,Not well
